Model,permno,uid,evtdate,date,evttime,ret,abret
Market Model,10909,10909-31JUL2019,2019-07-31,2019-08-02,2,-0.013346309,-0.007549659
Market Model,10909,10909-31JUL2019,2019-07-31,2019-08-05,3,-0.018317599,0.0061833372
Market Model,10966,10966-01MAR2017,2017-03-01,2017-02-24,-3,0.009478673,0.0058067183
Market Model,10966,10966-01MAR2017,2017-03-01,2017-02-27,-2,-0.009389671,-0.014144035
Market Model,10966,10966-01MAR2017,2017-03-01,2017-02-28,-1,-0.009478673,-0.002867741
Market Model,10966,10966-01MAR2017,2017-03-01,2017-03-01,0,0.019138756,-0.008346198
Market Model,10966,10966-01MAR2017,2017-03-01,2017-03-02,1,-0.028169014,-0.01650684
Market Model,10966,10966-01MAR2017,2017-03-01,2017-03-03,2,-0.033816425,-0.036225569
Market Model,10966,10966-01MAR2017,2017-03-01,2017-03-06,3,-0.015,-0.009291076
Market Model,11154,11154-18NOV2015,2015-11-18,2015-11-13,-3,0.0020080321,0.0040741116
Market Model,11154,11154-18NOV2015,2015-11-18,2015-11-16,-2,0.0100200401,0.0058550856
Market Model,11154,11154-18NOV2015,2015-11-18,2015-11-17,-1,-0.010912698,-0.011262734
Market Model,11154,11154-18NOV2015,2015-11-18,2015-11-18,0,0.0260782347,0.0213537589
Market Model,11154,11154-18NOV2015,2015-11-18,2015-11-19,1,0.0332355816,0.0329364115
Market Model,11154,11154-18NOV2015,2015-11-18,2015-11-20,2,0.004730369,0.003184992
Market Model,11154,11154-18NOV2015,2015-11-18,2015-11-23,3,-0.006120527,-0.006724891
Market Model,11379,11379-23MAR2020,2020-03-23,2020-03-18,-3,-0.207169941,-0.156778598
Market Model,11379,11379-23MAR2020,2020-03-23,2020-03-19,-2,0.0439130435,0.0351451767
Market Model,11379,11379-23MAR2020,2020-03-23,2020-03-20,-1,0.3744273219,0.4126768184
Market Model,11379,11379-23MAR2020,2020-03-23,2020-03-23,0,0.1215151515,0.1460727784
Market Model,11379,11379-23MAR2020,2020-03-23,2020-03-24,1,0.0105376925,-0.067378421
Market Model,11379,11379-23MAR2020,2020-03-23,2020-03-25,2,0.1764705882,0.1689082948
Market Model,11379,11379-23MAR2020,2020-03-23,2020-03-26,3,-0.090909091,-0.140322004
Market Model,11403,11403-04JAN2014,2014-01-06,2013-12-31,-3,0.0021443888,-0.001436248
Market Model,11403,11403-04JAN2014,2014-01-06,2014-01-02,-2,-0.000713267,0.0094926884
Market Model,11403,11403-04JAN2014,2014-01-06,2014-01-03,-1,0.011420414,0.0120494235
Market Model,11403,11403-04JAN2014,2014-01-06,2014-01-06,0,0.007057163,0.0115800955
Market Model,11403,11403-04JAN2014,2014-01-06,2014-01-07,1,0.0045550105,-0.001656655
Market Model,11403,11403-04JAN2014,2014-01-06,2014-01-08,2,0.0059295431,0.0064533114
Market Model,11403,11403-04JAN2014,2014-01-06,2014-01-09,3,-0.006934813,-0.006200562
Market Model,11441,11441-27APR2020,2020-04-27,2020-04-22,-3,0.0224805659,0.0238659912
Market Model,11441,11441-27APR2020,2020-04-27,2020-04-23,-2,-0.013630137,-0.015197665
Market Model,11441,11441-27APR2020,2020-04-27,2020-04-24,-1,-0.027845289,-0.027632954
Market Model,11441,11441-27APR2020,2020-04-27,2020-04-27,0,0,0.0006033647
Market Model,11441,11441-27APR2020,2020-04-27,2020-04-28,1,0,-0.002336104
Market Model,11441,11441-27APR2020,2020-04-27,2020-04-29,2,-0.05,-0.047792063
Market Model,11441,11441-27APR2020,2020-04-27,2020-04-30,3,0.030075188,0.026754766
Market Model,11499,11499-24NOV2015,2015-11-24,2015-11-19,-3,-0.021468927,-0.018430554
Market Model,11499,11499-24NOV2015,2015-11-24,2015-11-20,-2,0.0023094688,0.0009022682
Market Model,11499,11499-24NOV2015,2015-11-24,2015-11-23,-1,-0.02764977,-0.025700108
Market Model,11499,11499-24NOV2015,2015-11-24,2015-11-24,0,0.0177725118,0.0177262011
Market Model,11499,11499-24NOV2015,2015-11-24,2015-11-25,1,-0.002328289,-0.001104436
Market Model,11499,11499-24NOV2015,2015-11-24,2015-11-27,2,0.008168028,0.0092104292
Market Model,11499,11499-24NOV2015,2015-11-24,2015-11-30,3,0.005787037,0.0120008198
Market Model,11511,11511-17APR2017,2017-04-17,2017-04-11,-3,-0.058064516,-0.062588671
Market Model,11511,11511-17APR2017,2017-04-17,2017-04-12,-2,-0.04109589,-0.047575065
Market Model,11511,11511-17APR2017,2017-04-17,2017-04-13,-1,0.0071428571,-0.000491556
Market Model,11511,11511-17APR2017,2017-04-17,2017-04-17,0,-0.007092199,-0.007439722
Market Model,11511,11511-17APR2017,2017-04-17,2017-04-18,1,0,-0.0054128
Market Model,11511,11511-17APR2017,2017-04-17,2017-04-19,2,0.0214285714,0.0167711197
Market Model,11511,11511-17APR2017,2017-04-17,2017-04-20,3,0.034965035,0.0343953504
