"uid","permno","CAR_1_Day_Window","CAR_10_Day_Window","CAR_3_Day_Window","CAR_5_Day_Window"
"15014-08SEP2020",15014,0.0464472844,0.3752616599,0.0673895656,0.1804122657
"15014-15SEP2020",15014,0.1195408258,0.0621827938,0.00889631490000001,0.0291723299
"15016-07MAY2024",15016,NA,NA,NA,NA
"15016-19APR2024",15016,NA,NA,NA,NA
"15046-01FEB2024",15046,-0.0189715779,-0.0748048124,0.0055131148,-0.0579050414
"15048-13JAN2023",15048,0.0428447655,0.0842314183,0.0651811184,0.0477938094
"15048-19DEC2024",15048,0.0047490603,0.0858260267,0.0033426229,0.0338462364
"15056-24FEB2023",15056,-0.0179985386,-0.1634641829,0.0048350207,-0.0403646169
"15061-01JAN2015",15061,NA,NA,NA,NA
"15061-18AUG2016",15061,-0.1027970579,-0.1964164404,-0.1407668257,-0.1862081678
"15065-02AUG2024",15065,0.0414408295,-0.9991047989,-0.5682937794,-0.950071461
"15089-08OCT2015",15089,0.0490805781,0.135225892,0.1666883489,0.192002867
"15092-01MAY2020",15092,-0.058273844,-0.2660369247,-0.1009143096,-0.1581676789
"15092-06JUN2020",15092,0.0138787703,-0.0804948082,-0.0283267764,0.0363757751
"15092-13JAN2023",15092,0.0834234325,0.00453918359999999,0.1125952245,0.1627835786
"15092-14NOV2023",15092,0.0571691846,0.0711243305,-0.0384206582,-0.1092472691559
"15108-26APR2021",15108,0.018692046,-0.1361474372,0.0150521968,-0.0701606024
"15129-06OCT2020",15129,-0.0306873476,0.3646962512,0.1268834863,0.295523831
"15170-19FEB2016",15170,0.0342258106,-0.1071175001,0.027420341,0.0041570613
"15170-31AUG2018",15170,0.0031405719,0.1639246326,0.0306641945,0.003378392139
"15198-18JAN2024",15198,-0.176957749,-0.4393689502,-0.2182478136,-0.4233613404
"15202-18MAR2011",15202,-0.0004226692,0.0692950099,0.011104345,0.0543733331
"15220-07JUN2017",15220,0.0247815626,-0.0385489619,-0.000362081300000002,0.0114149324
"15220-15JUN2018",15220,0.0018714231,0.0542681333,-0.001582131,0.0161339488
"15271-17OCT2023",15271,-0.0381912785,-0.2315904694,-0.1622125113,-0.0814148598
"15271-21MAY2020",15271,0.0974763907,0.4398701313,0.2969460295,0.1614047069
"15271-22MAY2020",15271,0.1750135222,0.4885330716,0.1972282305,0.2186655577
"15291-01MAY2024",15291,-0.1150442935,-0.1463265254,-0.1138288884,-0.12090475
"15315-01JUL2020",15315,-0.0491361723,-0.1413401802,-0.1012162123,-0.1751171809
"15315-01MAY2023",15315,-0.0224566802,-0.0768886424,-0.0311130371,-0.0999863773
"15381-23APR2020",15381,0.0160028785,0.1687034904,-0.00671719810000001,0.0213458465
"15390-07FEB2017",15390,-0.0309657274,-0.1788361788,-0.0169701477,-0.0448336811
"15396-20OCT2015",15396,NA,NA,NA,NA
"15398-06JUL2015",15398,NA,NA,NA,NA
"15400-04NOV2020",15400,-0.0101237657,-0.0160051046,0.0729344184,0.1079380653
"15400-05JAN2024",15400,0.0174008827,0.0248054258,0.0057199939,0.0222249999
"15400-22JAN2024",15400,-0.000516355799999999,-0.0185167062,0.0150102814,0.0120655738
"15401-02MAR2016",15401,-0.0191457313,-0.1404130052,-0.0424400808,-0.0642836631
"15408-01JUN2016",15408,0.0035658799,-0.0248656617,-0.0043411899,0.000918076
"15408-29SEP2023",15408,-0.024956292,-0.0380770791,-0.0178516354,-0.0594471849
"15410-02FEB2024",15410,-0.0112560494,0.2179692423,-0.0129654785,0.2735244996
"15410-18AUG2023",15410,0.1188484676,0.0535312981,0.0946705872,0.0752469249
"15416-26APR2023",15416,-0.0264403603,-0.0554242494,0.1986024773,0.1962730878
"15431-01NOV2023",15431,-0.3562913913,0.0344040359,-0.0960243621,-0.1715832786
"15452-12DEC2019",15452,-0.1461004866,-0.0538422693,-0.0535793979,0.1591311513
"15452-12JAN2023",15452,0.0848067204,0.0451676326,0.0867749817,0.1035283909
"15456-18OCT2022",15456,-0.0277310208,-0.0432212405,-0.0551625665,-0.0568390009
"15456-28APR2020",15456,0.1341892855,0.0683097272,0.1015717751,0.0195565707
"15488-05FEB2024",15488,0.0164946607,-0.1342830086,-0.1313432377,-0.0466234567
"15488-28MAR2019",15488,-0.0093221809,-0.0187859592,-0.0143411758,-0.0280527444
"15493-10JUL2018",15493,0.020777173,-0.099265592,0.0308794451,0.002656038
"15533-06MAR2023",15533,-0.1767593435,-0.8080114037,-0.4629748689,-0.4954765611
"15533-18AUG2023",15533,-0.16005321,-0.2543554785,-0.045232826,0.0561556935
"15533-26SEP2024",15533,0.0808297588,-0.3315221881,0.0033653645,-0.0828476206
"15533-30AUG2024",15533,-0.0592206134,-0.254501992,-0.1333485493,-0.1163659405
"15534-20MAR2023",15534,-0.040899706,-0.0823815734,-0.0172965228,-0.0032705462
"15546-04NOV2021",15546,-0.2545159434,-0.355304708,-0.4081952638,-0.3275080548
"15546-07APR2022",15546,-0.060970697,-0.0807089641,0.0391492808,0.0265291761
"15546-27JUN2022",15546,-0.0391474394,0.0271307803,0.0602377948,0.1356316627
"15579-23NOV2011",15579,-0.018534157,0.0170564067,-0.0290791261,0.0013582548
"15579-28NOV2012",15579,0.0049454108,0.0157228084,0.00054698,0.0165466551
"15639-02SEP2022",15639,0.0034169028,0.5084088862,0.1012742757,0.2059735104
"15639-22OCT2024",15639,0.0415927803,-0.0631010212,-0.0469604225,0.0725629471
"15643-08JAN2024",15643,-0.077058639,-0.2402852689,-0.191563585,-0.2718904702
"15643-30JUN2023",15643,-0.0618748878,0.0667180473,-0.0765277087,0.025098681
"15647-03AUG2020",15647,-0.0240153574,0.1678642816,0.0431767094,0.1233770642
"15647-26JAN2016",15647,NA,NA,NA,NA
"15694-20AUG2024",15694,0.0233105135,0.1393473457,0.1277048639,0.1661586147
"15707-14JUL2020",15707,0.0359382971,0.0184637906,0.0555960772,0.0194771142
"15707-18NOV2016",15707,-0.042236236,-0.0289588666,-0.0420131143,-0.0373890691
"15707-30SEP2016",15707,-0.0171242729,-0.0557381079,-0.0306264148,-0.0389622579
